Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12447,2023-10-09,0.0724070144,0.1062591139,0.0980145349,21,100
Market-Adjusted Model,12449,2023-10-09,-0.117267956,-0.097033376,-0.091660435,21,100
Market-Adjusted Model,12452,2023-10-09,-0.083832349,-0.058344717,-0.058224829,21,100
Market-Adjusted Model,12453,2023-10-09,0.0017313635,0.0269530793,0.027338884,21,100
Market-Adjusted Model,12457,2023-10-09,-0.013235799,0.0132287227,0.0123717213,21,100
Market-Adjusted Model,12461,2023-10-09,-0.115961735,-0.09575815,-0.090354215,21,100
Market-Adjusted Model,12462,2023-10-09,-0.076779582,-0.051876622,-0.051172062,21,100
Market-Adjusted Model,12472,2023-10-09,-0.118892436,-0.097677224,-0.093284915,21,100
Market-Adjusted Model,12473,2023-10-09,-0.009703002,0.0263074216,0.0159045189,21,100
Market-Adjusted Model,12476,2023-10-09,0.023211738,0.0510663956,0.0488192585,21,100
Market-Adjusted Model,12477,2023-10-09,-0.123825817,-0.10403101,-0.098218296,21,100
Market-Adjusted Model,12480,2023-10-09,0.0312500023,0.0582326737,0.0568575227,21,100
Market-Adjusted Model,12487,2023-10-09,-0.114827586,-0.085438817,-0.089220066,21,100
Market-Adjusted Model,12488,2023-10-09,-0.154285701,-0.122969622,-0.128678181,21,100
Market-Adjusted Model,12490,2023-10-09,-0.071676527,-0.048286142,-0.046069007,21,100
Market-Adjusted Model,12495,2023-10-09,-0.034031384,0.0214281623,-0.008423864,21,100
Market-Adjusted Model,12497,2023-10-09,-0.033535205,0.2062183638,-0.007927685,21,100
Market-Adjusted Model,12500,2023-10-09,-0.059405947,0.0095932167,-0.033798426,21,100
Market-Adjusted Model,12505,2023-10-09,-0.010439817,0.0150883547,0.0151677036,21,100
Market-Adjusted Model,12508,2023-10-09,-0.049014186,-0.024250485,-0.023406665,21,100
Market-Adjusted Model,12510,2023-10-09,0.0946236871,0.117326868,0.1202312076,21,100
Market-Adjusted Model,12513,2023-10-09,-0.074736843,-0.04854691,-0.049129323,21,100
Market-Adjusted Model,12514,2023-10-09,-0.114777569,-0.094539752,-0.089170048,21,100
Market-Adjusted Model,12515,2023-10-09,-0.034918092,-0.00628523,-0.009310571,21,100
Market-Adjusted Model,12516,2023-10-09,-0.057466109,-0.033294503,-0.031858588,21,100
Market-Adjusted Model,12523,2023-10-09,-0.026197821,0.0006446501,-0.0005903,21,100
Market-Adjusted Model,12527,2023-10-09,-0.028064556,0.0249728999,-0.002457035,21,100
Market-Adjusted Model,12528,2023-10-09,-0.036472599,-0.009603807,-0.010865079,21,100
Market-Adjusted Model,12530,2023-10-09,0.1061160856,0.1331158514,0.1317236061,21,100
Market-Adjusted Model,12531,2023-10-09,0.1139738183,0.1629132969,0.1395813387,21,100
Market-Adjusted Model,12533,2023-10-09,-0.081428985,-0.057814324,-0.055821464,21,100
Market-Adjusted Model,12534,2023-10-09,-0.100090132,-0.076903633,-0.074482612,21,100
Market-Adjusted Model,12535,2023-10-09,-0.047619144,-0.022165548,-0.022011623,21,100
Market-Adjusted Model,12536,2023-10-09,-0.060589225,-0.03562152,-0.034981704,21,100
Market-Adjusted Model,12537,2023-10-09,-0.011698043,0.0135457086,0.0139094778,21,100
Market-Adjusted Model,12540,2023-10-09,-0.048415426,-0.021132714,-0.022807906,21,100
Market-Adjusted Model,12543,2023-10-09,-0.04619359,-0.021513079,-0.02058607,21,100
Market-Adjusted Model,12552,2023-10-09,-0.045965282,-0.021275664,-0.020357761,21,100
Market-Adjusted Model,12558,2023-10-09,0.0228915149,0.0491712406,0.0484990353,21,100
Market-Adjusted Model,12564,2023-10-09,-0.03723407,-0.01205545,-0.011626549,21,100
Market-Adjusted Model,12565,2023-10-09,-0.027066894,-0.001921823,-0.001459373,21,100
Market-Adjusted Model,12566,2023-10-09,0.038321178,0.0673471051,0.0639286984,21,100
Market-Adjusted Model,12569,2023-10-09,-0.140845027,-0.121140883,-0.115237507,21,100
Market-Adjusted Model,12570,2023-10-09,-0.021466,0.0065249347,0.0041415209,21,100
Market-Adjusted Model,12573,2023-10-09,-0.197853031,-0.167564164,-0.172245511,21,100
Market-Adjusted Model,12577,2023-10-09,-0.241007219,-0.193648724,-0.215399698,21,100
Market-Adjusted Model,12578,2023-10-09,-0.047250953,-0.022560683,-0.021643433,21,100
Market-Adjusted Model,12579,2023-10-09,-0.16528929,-0.117007675,-0.139681769,21,100
Market-Adjusted Model,12583,2023-10-09,-0.155052821,-0.13673108,-0.129445301,21,100
Market-Adjusted Model,12591,2023-10-09,-0.087985881,-0.063592843,-0.062378361,21,100
Market-Adjusted Model,12592,2023-10-09,-4.11122E-10,0.0376173896,0.02560752,21,100
Market-Adjusted Model,12593,2023-10-09,-0.072601019,-0.048568901,-0.046993498,21,100
Market-Adjusted Model,12615,2023-10-09,-0.093055502,-0.070185456,-0.067447981,21,100
Market-Adjusted Model,12621,2023-10-09,-0.093629512,-0.070152264,-0.068021991,21,100
Market-Adjusted Model,12622,2023-10-09,-0.044912202,-0.018037054,-0.019304682,21,100
Market-Adjusted Model,12623,2023-10-09,0.0758901632,0.1034262151,0.1014976836,21,100
Market-Adjusted Model,12625,2023-10-09,-0.046386776,-0.021774508,-0.020779256,21,100
Market-Adjusted Model,12628,2023-10-09,-0.06518281,-0.040664006,-0.039575289,21,100
Market-Adjusted Model,12629,2023-10-09,-0.034659814,-0.004176367,-0.009052293,21,100
Market-Adjusted Model,12631,2023-10-09,-0.00284408,0.0223748549,0.0227634409,21,100
Market-Adjusted Model,12633,2023-10-09,0.0234076416,0.0485366952,0.0490151621,21,100
Market-Adjusted Model,12641,2023-10-09,-0.125190458,-0.104544877,-0.099582937,21,100
Market-Adjusted Model,12644,2023-10-09,0.0054760738,0.0321313856,0.0310835943,21,100
Market-Adjusted Model,12646,2023-10-09,-0.075854754,-0.052382424,-0.050247233,21,100
Market-Adjusted Model,12647,2023-10-09,-0.060624262,-0.036061259,-0.035016741,21,100
Market-Adjusted Model,12648,2023-10-09,-0.07246369,-0.048103606,-0.046856169,21,100
Market-Adjusted Model,12649,2023-10-09,-0.038759653,-0.011546908,-0.013152133,21,100
Market-Adjusted Model,12651,2023-10-09,-0.066440832,-0.042610744,-0.040833312,21,100
Market-Adjusted Model,12652,2023-10-09,-0.08507751,-0.061485518,-0.05946999,21,100
Market-Adjusted Model,12654,2023-10-09,-0.068648584,-0.044876164,-0.043041063,21,100
Market-Adjusted Model,12655,2023-10-09,-0.060807544,-0.036712452,-0.035200024,21,100
Market-Adjusted Model,12656,2023-10-09,-0.053838512,-0.028503989,-0.028230991,21,100
